id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-npre-unweighted-nimp,walktrap-npre-unweighted-imp,louvain-npre-unweighted-nimp,louvain-npre-unweighted-imp,infomap-npre-unweighted-nimp,infomap-npre-unweighted-imp
1839,1,katherine tegen books,katherine tegen books,1--4806;0--06;1--4844,2014,2019,3,7,7,832,832,17,5
1863,1,kingfisher,kingfisher,0--7534;0--329;1--4155,2003,2016,5,7,7,1688,1688,36,35
1870,1,knopf,knopf,0--679;0--394;0--375;0--87923,1957,1997,8,7,7,517,517,9,11
1871,1,knopf doubleday publishing group,knopf doubleday publishing group,0--307,2015,2015,1,7,7,517,517,63,68
1895,1,ladybird books,ladybird books,0--7214;0--241,1988,2018,2,7,7,1274,1274,191,190
1906,1,laura geringer books,laura geringer books,0--06,2007,2007,1,7,7,832,832,4,8
1907,1,laurel 1992,laurel 1992,0--440,1992,1992,1,7,7,517,517,12,13
1908,1,laurel leaf books,laurel leaf books,1--4287;0--329;0--440,1983,2007,2,7,7,1274,1274,26,18
1959,1,lions,lions,0--00,1986,1986,1,7,7,832,832,35,27
1969,1,little brown,little brown,1--59961;1--4087;0--385;0--7569;0--7515;0--316,1964,2017,15,7,7,1274,1274,99,95
1970,2,little brown and co;;little brown and company,little brown and co;;little brown and company,0--7394;0--316,1999,2019,18,7,7,1274,1274,83,74
1971,1,little brown book group,little brown book group,0--7515,2018,2018,1,7,7,1274,1274,59,57
1973,1,little brown spark,little brown spark,0--316,2018,2018,1,7,7,1274,1274,51,49
1974,1,little simon,little simon,0--689;0--671;1--4169;0--02;1--4424,1990,2010,5,7,7,1688,1688,11,10
2019,2,m i t press;;mit press,m i t press;;mit press,1--306;0--262;1--299;1--336;0--585;1--322,1973,2019,45,7,7,517,517,81,76
2022,1,macdonald,macdonald,0--7088;0--356;0--7515,1991,2000,2,7,7,1274,1274,59,57
2030,1,macmillan children's books,macmillan children's books,1--5098;1--5290;1--4472,2014,2018,6,7,7,1440,1440,195,193
