"id","length","text","isbn_new","year_min","year_max","record","group"
428,1,"borderlands press","1--5141","2015","2015",1,351
429,1,"borgo press","0--89370;0--88496","1980","1991",2,1500
430,1,"borough of twickenham local history society","1--911145","2018","2018",1,1485
431,1,"boston college museum of art","1--892850","2011","2011",1,1481
432,1,"boulevard books","1--57297","1996","1996",1,1476
433,1,"bounty books","0--7537","2015","2015",1,2
434,1,"bowen-merrill","0--665","1981","1981",1,357
435,1,"boxer books","1--910126;1--907967","2014","2015",2,1465
436,1,"boy scouts of america","0--8395","1981","2011",3,322
437,1,"boydell press","1--84615","2009","2009",1,1457
438,1,"boys town press","1--934490","2013","2013",1,360
439,1,"bpp learning media","1--4727;1--4453","2012","2014",2,1446
440,1,"bracken books","1--85891","1993","1993",1,1440
441,1,"bradbury press","0--87888","1977","1977",1,1437
442,1,"branden pub. co","0--8283","2007","2007",1,1434
443,1,"brash books llc","1--941298","2014","2014",1,350
444,1,"brassey's (uk) ltd for the international institute for strategic studies","1--85753","1993","1993",1,36
445,1,"braziller","0--8369","1957","1957",1,1421
446,1,"breaklight publications","1--5076","2015","2015",1,1415
447,1,"breakthrough publications","0--914327","1994","1994",1,1413
448,1,"bregdan publishing","1--9739","2017","2017",1,1409
449,1,"brethren press","0--87178","1975","1975",1,1404
450,1,"brigham young university press","0--8425","1973","1973",1,1403
451,1,"bright sky press","1--933979","2009","2009",1,85
452,1,"brightstar publishing","1--61961","2018","2018",1,85
453,1,"brill","90--04","2013","2017",10,85
454,1,"brill nijhoff","90--04","2014","2016",2,1395
455,1,"brill rodopi","90--04","2015","2015",1,152
456,1,"brilliance audio","1--4558","2011","2011",1,1381
457,1,"bristol classical press","0--7156;0--906515","1998","2012",2,365
458,1,"britannica digital learning","1--62513","2015","2015",2,155
459,1,"british archaeological reports ltd","1--4073","2015","2015",1,1372
460,2,"british broadcasting corp.;;british broadcasting corporation","0--563","1981","1983",2,1365
461,1,"british museum publications ltd for the trustees of the british museum","0--7141","1984","1984",1,362
462,1,"british standards institution","0--580","1997","1997",1,1355
463,1,"brittany fichter","1--5086","2015","2015",1,1354
464,1,"broadblade press","0--9614640","2003","2003",1,16
465,1,"broadkill river press","0--931181","2016","2016",1,1349
466,1,"broadway books","0--307","2011","2011",1,1341
467,1,"brookings institution press","0--8157","2012","2013",3,1338
468,1,"brookwood medical publications","1--874409","1997","1997",1,1396
469,1,"broquard ebooks","1--941415","2000","2000",1,1330
470,1,"bryce hill publishing","0--9798697","2008","2008",1,223
471,1,"buccaneer books","1--56849","2000","2000",1,1320
472,1,"bullfrog books","1--62031","2014","2014",1,1318
