index,F001_a,isbn_tag,isbn_tag1,F008_0710,F26x_b_cleaned,class,publisher1,publisher2
369,907512032,1--4242 ;; 0--06,0--06,2016,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
370,1011357164,1--315,1--315,2018,"routledge, an imprint of the taylor and francis group",imprint,"routledge, ", the taylor and francis group
373,897449210,1--59920,1--59920,2014,"smart apple media, an imprint of black rabbit books",imprint,"smart apple media, ", black rabbit books
375,962217392,1--68077,1--68077,2017,"checkerboard library, an imprint of abdo publishing",imprint,"checkerboard library, ", abdo publishing
376,1078671050,1--84681,1--84681,2018,"hermes house, an imprint of anness publishing",imprint,"hermes house, ", anness publishing
378,962436297,1--5098,1--5098,2017,"pan books, an imprint of pan macmillan",imprint,"pan books, ", pan macmillan
384,894048692,0--06,0--06,2011,"harper, an imprint of harpercollins publishers",imprint,"harper, ", harpercollins publishers
385,894832192,0--06,0--06,2014,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
386,1032290074,1--62157,1--62157,2018,"regenery history, an imprint of regnery publishing, a division of salem media group",imprint,"regenery history, "," regnery publishing, a division of salem media group"
399,1090142642,0--06,0--06,2019,"katherine tegen books, an imprint of harpercollinspublishers",imprint,"katherine tegen books, ", harpercollinspublishers
401,1055564667,,,2018,"life books, an imprint of time inc. books",imprint,"life books, ", time inc. books
402,864709620,0--8037,0--8037,2014,"dial books for young readers, an imprint of penguin group (usa) llc",imprint,"dial books for young readers, ", penguin group (usa) llc
414,1000152299,0--9969617,0--9969617,2016,"women and myth press, an imprint of goddess ink",imprint,"women and myth press, ", goddess ink
417,858358836,1--59780,1--59780,2014,"night shade books, an imprint of start publishing llc",imprint,"night shade books, ", start publishing llc
418,1088677264,0--06,0--06,2016,"harper, an imprint of harpercollins publishers",imprint,"harper, ", harpercollins publishers
420,1039703843,0--06,0--06,2017,"amistad, an imprint of harpercollinspublishers",imprint,"amistad, ", harpercollinspublishers
422,952702669,0--08,0--08,2016,"chandos publishing, an imprint of elsevier",imprint,"chandos publishing, ", elsevier
426,1057557337,1--9806,1--9806,2018,"gallery books, an imprint of simon and schuster inc",imprint,"gallery books, ", simon and schuster inc
429,1002901629,1--63236,1--63236,2018,"kodansha comics, an imprint of kodansha usa publishing llc",imprint,"kodansha comics, ", kodansha usa publishing llc
434,961310033,1--59514,1--59514,2017,"razorbill, an imprint of penguin random house",imprint,"razorbill, ", penguin random house
437,1007349972,0--06,0--06,2017,"william morrow, an imprint of harpercollinspublishers",imprint,"william morrow, ", harpercollinspublishers
443,1030533376,1--5081,1--5081,2018,"windmill books, an imprint of rosen publishing",imprint,"windmill books, ", rosen publishing
446,900180096,0--451,0--451,2015,"obsidian, published by new american library, an imprint of penguin random house llc",imprint,"obsidian, published by new american library, ", penguin random house llc
456,932577171,1--63375,1--63375,2016,"entangled teen, is an imprint of entangled publishing llc",imprint,"entangled teen, ", entangled publishing llc
459,959422960,1--137 ;; 1--349,1--137,2016,this palgrave macmillan imprint is published by springer nature,imprint,,
461,921331512,1--910184,1--910184,2016,"book house, an imprint of the salariya book company",imprint,"book house, ", the salariya book company
470,1035016969,1--4998,1--4998,2018,"little bee books, an imprint of bonnier publishing",imprint,"little bee books, ", bonnier publishing
473,890530792,1--322 ;; 0--313,0--313,2014,"praeger, an imprint of abc-clio llc",imprint,"praeger, ", abc-clio llc
475,891396436,1--4930,1--4930,2014,"lyons press, an imprint of globe pequot press",imprint,"lyons press, ", globe pequot press
479,883368710,0--06,0--06,2014,"william morrow, an imprint of harpercollinspublishers",imprint,"william morrow, ", harpercollinspublishers
485,966429568,1--84788,1--84788,2017,"bloomsbury academic, an imprint of bloomsbury publishing, plc",imprint,"bloomsbury academic, "," bloomsbury publishing, plc"
487,915374662,0--307,0--307,2014,"alfred a. knopf, an imprint of random house children's books",imprint,"alfred a. knopf, ", random house children's books
488,937999662,1--4742,1--4742,2016,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
504,1048941537,0--12,0--12,2019,academic press is an imprint of elsevier,imprint,academic press , elsevier
511,881824271,1--4914,1--4914,2015,"capstone press, a capstone imprint",imprint,,
512,779264576,1--4806 ;; 0--7364,0--7364,2012,"golden books, an imprint of random house children's books, a division of random house inc",imprint,"golden books, "," random house children's books, a division of random house inc"
515,1047677215,1--315 ;; 1--4987,1--4987,2018,"taylor and francis, an imprint of taylor and francis",imprint,"taylor and francis, ", taylor and francis
516,1033430889,0--8021,0--8021,2016,"grove press, an imprint of grove atlantic",imprint,"grove press, ", grove atlantic
517,1020310593,1--5362,1--5362,2018,"nosy crow, an imprint of candlewick press",imprint,"nosy crow, ", candlewick press
538,962200595,1--68077,1--68077,2016,"essential library, an imprint of abdo publishing",imprint,"essential library, ", abdo publishing
540,1083740059,1--63236,1--63236,2018,"kodansha comics, an imprint of kodansha usa publishing llc",imprint,"kodansha comics, ", kodansha usa publishing llc
541,1037287416,0--06,0--06,2018,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
543,1030961980,0--06,0--06,2018,"harperteen, an imprint of harpercollinspublishers",imprint,"harperteen, ", harpercollinspublishers
547,1050383123,0--12,0--12,2018,"academic press, an imprint of elsevier",imprint,"academic press, ", elsevier
555,768796648,1--4411,1--4411,2016,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
559,876818533,0--606 ;; 0--06,0--06,2014,"harper, an imprint of harpercollins publishers",imprint,"harper, ", harpercollins publishers
560,1039402776,1--5011,1--5011,2019,"atria books, an imprint of simon and schuster inc",imprint,"atria books, ", simon and schuster inc
561,1001960895,1--85856,1--85856,2017,trentham books is an imprint of ucl institute of education press,imprint,trentham books , ucl institute of education press
563,173350973,1--59240,1--59240,2008,"avery, an imprint of penguin random house llc",imprint,"avery, ", penguin random house llc
570,903590216,1--9821 ;; 1--5011,1--5011,2015,"gallery books, an imprint of simon and schuster inc",imprint,"gallery books, ", simon and schuster inc
573,1086614900,,,2018,"neighborhood story project, an imprint of the university of new orleans press",imprint,"neighborhood story project, ", the university of new orleans press
574,908764258,1--4666,1--4666,2015,"business science reference, an imprint of igi global",imprint,"business science reference, ", igi global
575,905380217,0--06,0--06,2015,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
581,1035308253,1--63121,1--63121,2017,"avalon travel, an imprint of perseus books, a hachette book group company",imprint,"avalon travel, "," perseus books, a hachette book group company"
584,1050468744,,,2014,academic press is an imprint of elsevier,imprint,academic press , elsevier
587,1002899826,1--5344,1--5344,2017,"simon spotlight, an imprint of simon and schuster children's publishing division",imprint,"simon spotlight, ", simon and schuster children's publishing division
589,911180673,0--06,0--06,2014,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
590,953175672,1--4725,1--4725,2017,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
591,1007750024,1--138,1--138,2017,"routledge, imprint of taylor and francis group",imprint,,
592,897825765,1--5182,1--5182,2016,"children's press, an imprint of scholastic inc",imprint,"children's press, ", scholastic inc
