"id","isbn"
2273,"0--87891"
2273,"0--7386"
2274,"1--315"
2274,"1--138"
2275,"1--78133"
2276,"0--8007"
2277,"0--9799073"
2278,"0--9834446"
2279,"0--384"
2280,"0--8239"
2281,"1--63121"
2282,"1--84604"
2283,"0--433"
2284,"1--5059"
2285,"0--87380"
2286,"0--9990249"
2287,"1--62649"
2288,"1--932426"
2289,"1--57966"
2290,"1--55547"
2291,"1--322"
2291,"1--101"
2291,"1--57322"
2292,"0--8478"
2293,"0--8478"
2294,"1--59643"
2295,"1--84617"
2295,"0--7198"
2295,"0--7091"
2295,"0--7090"
2296,"1--5147"
2297,"1--4948"
2298,"0--906185"
2299,"0--692"
2300,"1--86105"
2301,"1--84954"
2302,"0--451"
2303,"1--56496"
2304,"1--62315"
2304,"1--64152"
2305,"1--937538"
2306,"1--62336"
2307,"90--420"
2307,"94--012"
2308,"90--420"
2308,"94--012"
2309,"1--4446"
2310,"0--912141"
2311,"1--57951"
2312,"1--4987"
2313,"1--4777"
2314,"1--5081"
2315,"1--948122"
2316,"1--941519"
2317,"1--84353"
2318,"1--68191"
2318,"1--64156"
2318,"1--62717"
2319,"0--08"
2319,"1--61205"
2319,"1--322"
2319,"1--351"
2319,"1--912303"
2319,"0--8153"
2319,"1--4987"
2319,"0--7146"
2319,"1--62958"
2319,"0--415"
2319,"0--429"
2319,"1--4724"
2319,"1--317"
2319,"1--283"
2319,"1--299"
2319,"0--7103"
2319,"1--135"
2319,"0--203"
2319,"1--306"
2319,"1--134"
2319,"0--367"
2319,"1--4094"
2319,"0--86656"
2319,"1--315"
2319,"1--136"
2319,"1--85728"
2319,"1--912127"
2319,"1--912282"
2319,"1--59451"
2319,"1--78220"
2319,"1--138"
2319,"1--4557"
2319,"0--7656"
2320,"0--7100"
2320,"94--011"
2320,"0--415"
2321,"0--7100"
2322,"1--84972"
2323,"1--317"
2323,"1--315"
2324,"1--351"
2325,"1--4422"
2325,"1--4758"
2325,"1--5381"
2325,"0--8108"
2325,"1--56699"
2325,"0--7425"
