"Publisher","ID","ISBN","group","walktrap","louvain","infomap"
"archon books",23597,"0--208",193,1826,139,604
"archway",315890144,"0--671",194,26,324,3
"arco pub co",2508314,"0--668",195,1805,140,605
"arco pub co",1301482,"0--668",195,1805,140,605
"arco pub co",317099753,"0--668",195,1805,140,605
"arcturus publishing",1080203683,"0--19",196,96,141,2001
"arcturus publishing limited",899284100,"1--78404",197,1770,142,1325
"ardis",933152950,"0--88233",198,1827,143,606
"arizona center for medieval and renaissance studies",835004684,"2--503",199,437,144,411
"armchair detetive library",1039391156,"1--56287",200,1736,145,1326
"arno press",234400686,"0--405",201,1724,146,1327
"arno press",195465,"0--405",201,1724,146,1327
"arno press",4492045,"0--405",201,1724,146,1327
"arno press",107113,"0--405",201,1724,146,1327
"arno press",447998,"0--405",201,1724,146,1327
"aros kunstmuseum aarhus",870650410,"3--86335",202,1714,147,607
"arrow",697670120,"0--09",203,23,1372,50
"arrow",857657948,"0--09",203,23,1372,50
"arrow books",16647084,"0--09",204,23,1372,50
"arrow books",24334246,"0--09",204,23,1372,50
"art direction book co",12674625,"0--910158",205,1699,148,1328
"art of medicine press inc",1081298204,"0--9740635",206,1700,149,1329
"arte pu blico press",26166000,"0--934770",207,1695,150,1330
"artech house",1004096482,"1--63081",208,324,151,311
"artech house",868070017,"1--60807",208,324,151,311
"arthur a levine books",1085693125,"0--545",209,17,1766,8
"arthurscooke publishers",1084311339,"0--9954827",210,1664,152,550
"artiqua press",1020536730,"0--9835723",211,1661,153,1331
"ascd",945552579,"1--4166",212,1660,154,1332
"ascd",868981289,"1--4166",212,1660,154,1332
"asce press",1058754908,"0--7277",213,442,155,342
"ashgate",874156547,"1--4094",214,11,1239,46
"ashgate",874557673,"1--4724",214,11,1239,46
"ashgate",863207290,"1--4094",214,11,1239,46
"ashgate",908739880,"1--306",214,11,1239,46
"ashgate",896704159,"1--4094",214,11,1239,46
"ashgate",874156623,"1--4094",214,11,1239,46
"ashgate",961573222,"1--4724",214,11,1239,46
"ashgate",874156554,"1--306",214,11,1239,46
"ashgate",758835694,"0--7546",214,11,1239,46
"ashgate",934913264,"0--7546",214,11,1239,46
"ashgate",941781767,"1--4094",214,11,1239,46
