Country_code,Publisher_code,Publisher
0,7656,M. E. Sharpe
0,7657,Jason Aronson
0,7658,Transaction Publishers
0,7660,Enslow Publishers
0,7661,Kessinger Publishing
0,7668,Delmar Publishers
0,7670,New Video Group
0,7673,Convention Press
0,7674,Mayfield Publishing
0,7678,Columbia TriStar Home Entertainment
0,7679,"Broadway Books, Morgan Road Books"
0,7680,Society of Automotive Engineers
0,7692,Warner Bros. Communications
0,7693,Singular
0,7694,Sterling Entertainment
0,7695,IEEE Computer Society Press
0,7700,McGraw-Hill Ryerson (Canada)
0,7701,Paperjacks (Canada)
0,7703,Dalhousie University; Vine Press
0,7704,McClelland and Stewart
0,7705,Macmillan (Canada)
0,7709,Carleton University
0,7710,McClelland and Stewart
0,7713,University of Toronto
0,7714,University of Western Ontario; Mestengo Press
0,7715,Gage Publishing
0,7717,McGill University
0,7720,"Clarke, Irwin"
0,7723,Macmillan-NAL (Canada)
0,7725,Irwin Publishing
0,7727,University of Toronto
0,7729,Ontario Geological Survey
0,7730,Copp Clark Publishing
0,7733,American Home Treasures
0,7734,Edwin Mellen Press
0,7735,McGill-Queen's University Press
0,7736,General Publishing (Canada)
0,7737,Stoddart
0,7740,Coles Notes
0,7743,Ontario Publications Services Section
0,7744,Ontario Institute for Studies in Education
0,7746,Presses de l'Université Laval
0,7747,Harcourt Brace Jovanovich (Canada)
0,7748,University of British Columbia Press
0,7750,Librairie Beauchemin
0,7752,Actuelle
0,7753,Pierre Tisseyre; Cercle du livre de France (Canada)
0,7754,Québec: Éditeur officiel
0,7755,Fides
0,7757,Garneau
0,7758,Hurtubise HMH
0,7759,Éditions de l'homme
0,7760,Éditions du Jour
0,7761,Leméac
0,7762,Lidec
0,7766,University of Ottawa Press
0,7770,Presses de l'Université du Québec
0,7777,La Presse (Montréal)
0,7778,Queen's Printer for Ontario
0,7783,MIRA Books
0,7786,Madacy Entertainment
0,7798,Thomson Carswell
0,7800,Home Vision Entertainment/Janus Films
0,7803,Institute of Electrical and Electronics Engineers (IEEE)
0,7806,Warner Home Video; PBS Home Video
0,7808,Omnigraphics
0,7814,David C. Cook
0,7817,Raven Press
0,7818,Hippocrene Books
0,7821,Sybex
0,7823,Educational Media Film & Video
0,7829,Resources for Christian Living
0,7831,HBO
0,7832,Universal Studios Home Entertainment
0,7835,Time-Life Books
0,7838,G. K. Hall
0,7840,Artisan Home Entertainment
0,7844,American Society of Civil Engineers
0,7847,Standard Publishing Company
0,7851,Marvel Comics
0,7852,Thomas Nelson Publishers
0,7858,Castle Books
0,7862,Thorndike Press
0,7863,Irwin Professional
0,7864,McFarland & Company
0,7867,Carroll & Graf Publishers; Da Capo Press
0,7868,Hyperion
0,7869,Wizards of the Coast
0,7872,Kendall/Hunt Publishing
0,7873,Mokelumme Press
0,7876,Gale Research
0,7879,Jossey-Bass Publishers
0,7880,Academic Renewal Press
0,7881,National Defence University Press
0,7884,Heritage Books
0,7885,Scholars Press
0,7886,MPI Media Group
0,7888,Buena Vista Home Entertainment
0,7890,Haworth Medical Press
0,7892,Abbeville Press
0,7893,Universe
0,7894,Dorling Kindersley
0,7895,Thomson Learning
0,7897,Que Publishing
0,7900,Reed Publishing (New Zealand)
0,7901,Shortland Publications
0,7906,Prompt Publications
0,7907,Warner Home Video
0,7910,Chelsea House Publishers
0,7913,Thomson Reuters
0,7914,State University of New York Press
0,7918,ASME Press (American Society of Mechanical Engineers)
0,7921,Paramount Home Video
0,7922,National Geographic Society
0,7923,Kluwer Academic Publishers
0,7928,MGM/UA Home Video
0,7931,Dearborn Trade
0,7935,G. Schirmer
0,7936,PBS Home Video
0,7942,Thirteen
0,7944,Reader's Digest
0,7957,Kwela Books
0,7962,Heinemann (South Africa)
0,7969,Human Sciences Research Council (South Africa)
0,7970,The Government Printer (South Africa)
0,7972,University of Stellenbosch
0,7974,various Zimbabwe imprints
0,7978,Government of Swaziland
0,7979,B. Britten (Swaziland)
0,7981,Human & Rousseau (South Africa)
0,7983,Africa Institute of South Africa
0,7989,Pretoria State Library
0,7992,University of Cape Town
0,7994,Via Afrika
0,8001,Columbia TriStar Home Video
0,8002,Falmer Press
0,8005,Bogden & Quigley
0,8006,Fortress Press
0,8007,Fleming H. Revell; Chosen Books
0,8008,Taplinger Publishing
0,8010,Baker Book House
0,8013,Longman (US division)
0,8014,Cornell University Press
0,8015,Hawthorn Books
0,8016,C. V. Mosby
0,8018,Johns Hopkins University Press
0,8019,Chilton Book Co.
0,8020,University of Toronto Press
0,8021,Grove Press
0,8022,Philosophical Library
0,8023,Dufour Editions
0,8024,Moody Publishers
0,8026,George Mason University Press
0,8027,Walker and Company
0,8028,W. B. Eerdmans
0,8031,ASTM (American Society for Testing and Materials)
0,8032,University of Nebraska Press
0,8034,Avalon Books
0,8036,F. A. Davis Company
0,8037,Dial Press
0,8038,Focal Press (US division)
0,8039,Sage Publications
0,8040,Swallow Press
0,8041,Random House Large Print
0,8042,John Knox Press
0,8044,F. Ungar
0,8046,Kennikat Press
0,8047,Stanford University Press
0,8048,Charles E. Tuttle Company
0,8050,Henry Holt and Company also Metropolitan Books
0,8052,Schocken Books
0,8053,Benjamin Cummings
0,8054,Broadman Press; Broadman & Holman
0,8055,Hart Publishing
0,8057,Twayne Publishers
0,8058,"Lawrence Erlbaum Associates, also Routledge"
0,8059,Dorrance Publishing
0,8061,University of Oklahoma Press
0,8062,Carlton Press
0,8063,Genealogical Publishing
0,8065,Citadel Press
0,8066,Augsburg Publishing House
0,8067,Urban & Schwarzenberg
0,8069,Sterling Publishing
0,8070,Beacon Press
0,8071,Louisiana State University Press
0,8072,Random House
0,8074,Union of American Hebrew Congregations
0,8076,George Braziller
0,8077,Teacher's College Press
0,8078,University of North Carolina Press
0,8080,CCH Inc. (Commerce Clearing House Inc.)
0,8084,College & University Press
0,8087,Burgess Publishing
0,8089,Grune & Stratton
0,8090,Hill and Wang
0,8091,Paulist Press
0,8092,Contemporary Books
0,8093,Southern Illinois University Press
0,8094,Time-Life Books
0,8095,Borgo Press
0,8096,Association Press
0,8098,Tuttle Publishing
0,8101,Northwestern University Press
0,8102,Chandler Publishing
0,8103,Gale Research
0,8104,Hayden Books
0,8106,National Education Association
0,8108,Scarecrow Press
0,8109,Harry N. Abrams
0,8110,Northwestern University Press
0,8112,New Directions Publishing
0,8114,Raintree Steck-Vaughn
0,8115,Kraus Reprint
0,8116,Garrard
0,8117,Stackpole Books
0,8118,Chronicle Books
0,8120,Barron's Educational Series
0,8121,Lea and Febiger
0,8122,University of Pennsylvania Press
0,8125,Tom Doherty Associates; Tor Books
0,8126,Open Court Publishing
0,8128,Stein and Day Publishers
0,8129,Quadrangle Books
0,8130,University of Florida Press
0,8131,University Press of Kentucky
0,8132,Catholic University of America Press
0,8133,Westview Press
0,8134,Interstate Printers & Publishers
0,8135,Rutgers University Press
0,8137,Geological Society of America
0,8138,Iowa State University Press
0,8139,University Press of Virginia
0,8141,National Council of Teachers of English
0,8142,Ohio State University Press
0,8143,Wayne State University Press
0,8144,AMACOM (American Management Association)
0,8146,Liturgical Press
0,8147,New York University Press
0,8149,Vanguard Press
0,8150,Wittenborn
0,8151,Year Book Medical Publishers
0,8152,Apollo Editions
0,8153,Garland Publishing
0,8154,Cooper Square Press
0,8155,Noyes Data Corporation
0,8156,Syracuse University Press
0,8157,Brookings Institution Press
0,8160,Facts on File
0,8161,G. K. Hall
0,8162,Holden-Day
0,8164,Seabury Press
0,8165,University of Arizona Press
0,8166,University of Minnesota Press
0,8169,American Institute of Chemical Engineers
0,8170,Judson Press
0,8173,University of Alabama Press
0,8174,Amphoto
0,8176,Birkhäuser Verlag
0,8179,Hoover Institution Press
0,8180,Horizon Press
0,8184,L. Stuart
0,8185,Brooks/Cole Publishing
0,8186,IEEE Computer Society Press
0,8189,Alba House
0,8190,Fides/Claretian
0,8191,University Press of America
0,8192,Morehouse Publishing
0,8194,SPIE Optical Engineering Press
0,8195,Wesleyan University Press
0,8196,Biblo and Tannen
0,8197,Bloch Publishing
0,8198,Pauline Books & Media
