cluster_id,isbn,record,type
559,1--84543,3,1
560,1--60433,2,1
561,1--938700,1,1
561,1--4290,1,1
562,1--940743,1,1
563,0--9826226,1,1
564,1--62720,8,1
565,1--62720,1,1
566,1--4302,32,1
566,1--4842,258,1
567,1--4842,1,1
568,1--4302,1,1
569,1--4302,1,1
569,1--4842,3,1
570,1--4302,3,1
571,0--9679720,1,1
572,0--9943499,1,1
573,0--89054,7,1
574,0--89054,1,1
575,0--89054,1,1
576,1--903141,1,1
577,0--9961390,2,1
578,0--9966440,1,1
579,0--692,1,1
580,0--9855200,1,1
581,1--62855,5,1
582,1--62855,1,1
583,0--9905540,2,1
584,1--62872,19,1
584,1--61145,2,1
585,1--910050,4,1
586,1--910050,1,1
587,0--692,1,1
588,1--4396,15,1
588,1--4671,36,1
589,0--692,1,1
590,1--937401,1,1
591,1--931909,1,1
592,1--886398,1,1
593,1--78491,79,1
593,1--4073,100,1
594,1--78491,1,1
595,1--78491,4,1
596,1--78491,1,1
597,1--78491,38,1
598,1--4073,1,1
599,1--78491,37,1
600,1--78491,28,1
601,1--60886,14,1
601,1--68159,2,1
601,1--61398,2,1
602,1--60886,4,1
603,1--942761,3,1
604,1--941729,1,1
605,1--909492,2,1
606,1--62738,5,1
607,1--61988,1,1
607,1--62738,3,1
608,0--9861155,1,1
609,0--914671,1,1
610,1--907896,3,1
610,1--902902,2,1
611,1--138,1,1
612,1--4808,16,1
613,1--78404,9,1
613,1--4351,1,1
614,1--78404,2,1
615,1--78404,1,1
616,1--5136,1,1
617,0--692,1,1
618,1--938247,2,1
619,1--63415,1,1
620,1--908931,1,1
621,1--78497,1,1
622,1--4959,1,1
623,1--935174,2,1
624,0--85668,5,1
624,1--910572,1,1
625,0--85668,4,1
626,0--86698,2,1
627,0--520,1,1
628,1--78358,2,1
629,1--56349,1,1
630,1--343,1,1
631,1--910524,1,1
632,1--85132,4,1
633,1--84322,4,1
633,1--86147,11,1
634,1--86147,2,1
635,1--61287,2,1
636,1--909961,1,1
637,0--9849863,1,1
638,1--893900,1,1
639,1--5148,1,1
640,3--86335,3,1
641,1--937702,1,1
642,9962--5534,1,1
643,0--09,11,1
643,1--78475,9,1
644,1--934675,1,1
645,0--692,1,1
646,0--300,2,1
646,1--894243,8,1
647,1--910433,1,1
648,1--884192,1,1
649,0--9932407,1,1
650,0--88397,1,1
651,1--906012,1,1
652,1--5171,1,1
653,1--55885,1,1
653,1--5185,1,1
654,1--60807,15,1
654,1--63081,4,1
655,1--5120,1,1
656,1--940075,1,1
657,0--545,1,1
657,1--119,1,1
658,0--9861799,1,1
659,1--908967,5,1
660,1--57965,3,1
661,1--57965,1,1
662,0--9898692,1,1
663,0--9842265,1,1
664,0--692,1,1
665,0--9963059,1,1
666,0--692,1,1
667,1--4675,1,1
668,1--4166,5,1
669,0--9966742,1,1
670,1--58503,1,1
671,1--4724,335,1
671,1--4094,65,1
671,1--138,1,1
671,0--7546,10,1
671,1--351,23,1
671,1--317,31,1
672,1--351,8,1
672,1--4724,42,1
672,1--4094,7,1
672,1--317,11,1
673,1--4724,13,1
673,1--4094,4,1
674,1--4724,3,1
675,1--351,5,1
675,1--4724,24,1
675,1--4094,1,1
675,1--317,5,1
676,1--4724,1,1
677,1--5329,1,1
678,1--910807,1,1
679,1--58528,4,1
680,1--58528,3,1
681,1--5231,1,1
682,0--692,1,1
683,0--8157,2,1
684,1--934904,1,1
685,1--62708,5,1
686,1--55581,26,1
687,0--7918,2,1
688,1--60650,1,1
689,0--314,2,1
690,0--9980002,1,1
691,1--941511,1,1
692,0--89843,3,1
693,1--62862,1,1
694,0--87389,4,1
695,0--9930977,1,1
696,0--9855310,1,1
697,1--62705,2,1
697,1--4503,19,1
697,1--970001,1,1
698,1--4503,2,1
699,0--8389,1,1
700,1--908438,2,1
701,1--906841,2,1
702,1--55620,1,1
703,1--60728,6,1
704,0--9890972,2,1
705,1--57754,4,1
705,1--5121,1,1
706,0--8389,1,1
707,1--908165,2,1
708,1--59407,10,1
709,1--61428,6,1
710,1--61428,3,1
711,0--8031,1,1
711,1--68015,1,1
712,1--941286,1,1
713,1--938231,1,1
714,1--5371,1,1
715,1--941983,1,1
716,1--5115,1,1
717,1--938793,1,1
718,1--941140,1,1
719,1--62613,2,1
720,1--60728,23,1
720,1--56286,7,1
721,1--60728,1,1
722,1--921511,1,1
723,1--5169,1,1
724,1--4424,12,1
724,1--4814,14,1
725,1--4742,1,1
726,0--9968425,1,1
727,1--63452,1,1
728,0--9896723,1,1
729,1--935921,1,1
730,1--78239,17,1
730,0--85789,5,1
730,1--84887,7,1
731,1--61977,25,1
732,1--61977,1,1
733,1--61977,1,1
734,1--61977,1,1
735,1--61977,4,1
736,1--61977,1,1
737,0--8021,10,1
738,0--8021,9,1
739,1--60138,3,1
740,1--62023,2,1
740,1--60138,2,1
741,0--9653310,1,1
742,0--9969679,1,1
743,1--907410,1,1
743,1--907411,4,1
743,1--4721,1,1
744,1--5011,8,1
745,1--4767,1,1
746,1--5011,1,1
746,1--4767,10,1
747,1--58270,1,1
748,1--4767,1,1
749,1--4516,1,1
750,1--4767,1,1
751,1--5011,1,1
751,0--7432,2,1
751,1--4516,2,1
751,1--58270,2,1
751,1--4165,1,1
751,1--4767,9,1
752,1--63079,1,1
753,0--692,1,1
754,0--9896992,1,1
755,1--78205,1,1
756,1--906908,2,1
757,1--903292,2,1
758,0--9778023,2,1
759,1--5108,1,1
760,1--935172,1,1
761,1--4514,2,1
762,0--9887355,2,1
763,1--940768,1,1
764,1--78538,1,1
765,1--906582,2,1
766,1--78131,12,1
767,1--84513,1,1
768,1--78131,2,1
769,1--78554,3,1
770,1--78455,3,1
770,1--78554,2,1
771,1--78554,1,1
772,1--5146,1,1
773,1--925133,2,1
774,1--921427,1,1
775,1--74245,1,1
776,1--74249,26,1
777,1--76033,18,1
778,1--925022,4,1
779,0--9932384,1,1
779,1--906733,3,1
780,1--78078,2,1
781,0--9967978,1,1
781,1--5122,2,1
781,0--9906925,1,1
781,1--5028,1,1
781,0--692,3,1
781,1--943845,1,1
782,1--4918,1,1
782,1--5049,3,1
783,0--692,1,1
784,1--4817,1,1
784,1--4969,22,1
784,1--4918,4,1
784,1--4772,2,1
784,1--4490,1,1
784,1--5049,43,1
785,1--4969,1,1
785,1--5049,3,1
786,1--119,3,1
787,1--119,4,1
788,1--119,1,1
789,0--9892221,2,1
790,0--9861835,1,1
791,1--938769,2,1
792,1--5153,2,1
793,1--78296,2,1
794,0--8075,1,1
794,1--4896,1,1
795,0--692,1,1
796,1--4896,1,1
797,1--4896,52,1
797,1--62127,2,1
798,1--941786,3,1
799,1--61238,8,1
799,1--63121,41,1
800,1--61238,1,1
800,1--63121,1,1
801,1--905297,2,1
802,1--59291,5,1
803,1--59291,1,1
804,1--59471,4,1
805,1--59330,1,1
806,1--4795,1,1
806,1--58333,4,1
806,1--101,4,1
806,1--4666,1,1
806,0--525,1,1
806,1--59240,1,1
807,1--58333,1,1
808,1--892384,1,1
809,1--61954,7,1
810,1--61954,6,1
811,1--61954,4,1
812,1--943164,1,1
812,1--938686,1,1
812,1--940984,1,1
813,0--00,3,1
813,0--06,17,1
813,1--84756,1,1
814,1--62953,1,1
814,1--4914,1,1
814,0--380,2,1
814,0--06,13,1
814,0--373,1,1
815,0--06,1,1
816,0--06,1,1
817,0--9835690,1,1
818,0--11,2,1
819,1--892446,1,1
820,1--60419,1,1
821,1--78279,1,1
822,0--9915730,1,1
823,0--692,1,1
824,1--78279,3,1
824,1--78535,1,1
825,0--9910174,1,1
826,1--883725,1,1
827,1--61889,1,1
828,0--9908456,1,1
829,1--4336,9,1
830,1--4336,10,1
831,1--4336,13,1
832,0--385,1,1
833,0--578,1,1
834,958--8850,1,1
835,1--62550,1,1
836,1--78077,2,1
837,1--5152,1,1
838,3--7618,1,1
839,0--9903070,2,1
840,1--57284,1,1
841,3--7618,1,1
842,1--910039,1,1
843,1--5071,1,1
844,1--5071,2,1
844,1--63339,2,1
845,0--316,32,1
846,0--316,1,1
847,0--316,1,1
848,0--9883138,1,1
849,1--61713,2,1
850,3--86335,2,1
851,1--936440,6,1
852,1--4391,1,1
852,1--4767,12,1
853,1--62579,1,1
853,1--4767,1,1
854,1--62579,2,1
854,1--4767,4,1
855,0--86698,1,1
856,0--8010,1,1
857,0--8010,3,1
858,0--8010,4,1
858,1--4934,1,1
859,1--5043,5,1
859,1--4525,3,1
860,1--5043,1,1
861,0--9797936,1,1
862,0--9932154,1,1
863,0--345,17,1
863,1--62953,1,1
863,0--553,5,1
863,1--101,6,1
863,0--8041,6,1
863,0--399,1,1
864,0--345,1,1
865,1--62953,1,1
866,1--910657,1,1
867,1--909723,1,1
868,0--06,2,1
869,0--06,1,1
869,0--425,1,1
870,1--5227,1,1
871,1--4924,1,1
872,1--883212,1,1
873,958--664,1,1
874,1--59782,1,1
875,1--893663,1,1
876,1--61088,3,1
877,1--4336,1,1
877,0--8054,1,1
878,1--4336,2,1
879,1--4336,2,1
880,0--9886105,1,1
881,0--9623789,1,1
882,1--890080,2,1
883,1--925083,5,1
884,0--85151,1,1
884,1--84871,1,1
885,0--9929176,1,1
886,0--9905268,1,1
887,0--8129,1,1
887,1--101,8,1
887,0--553,18,1
888,0--345,5,1
888,0--385,2,1
888,0--553,16,1
888,0--85750,8,1
888,1--101,7,1
888,1--4481,1,1
888,0--8041,8,1
888,1--61002,1,1
889,1--101,1,1
890,0--553,1,1
891,0--85750,1,1
891,0--593,6,1
892,1--936097,1,1
893,1--5076,2,1
894,1--78213,1,1
895,0--9820633,1,1
896,3--7913,2,1
897,1--63409,7,1
898,1--63058,2,1
899,1--63409,3,1
899,1--62836,1,1
899,1--63058,1,1
900,0--9704751,1,1
901,1--5040,3,1
901,1--4804,1,1
901,0--941964,1,1
902,1--935922,1,1
903,1--78456,1,1
904,1--905622,1,1
905,1--84686,4,1
906,1--78285,15,1
907,0--9864021,1,1
908,1--940207,1,1
909,1--4351,2,1
910,1--4351,1,1
911,1--903488,1,1
912,1--56980,1,1
913,1--78112,9,1
