id,length,text,publisher_pro,isbn_new,year_min,year_max,record
382,1,american marketing association,american marketing association,1--63439,2015,2015,1.0
383,1,american mathematical society,american mathematical society,1--4704;0--8218,2015,2015,105.0
384,1,american medical association,american medical association,1--62202,2015,2015,3.0
385,1,american meteorological society,american meteorological society,1--935704,2015,2015,1.0
386,1,american nurses association,american nurses association,1--55810,2015,2015,3.0
387,1,american palate,american palate,1--62585;1--62619;1--4671,2015,2015,5.0
388,1,american pharmacist's association,american pharmacist's association,1--58212,2015,2015,2.0
389,1,american pharmacists association,american pharmacists association,1--58212,2015,2015,11.0
390,1,american phytopathological society,american phytopathological society,0--89054,2015,2015,1.0
391,1,american planning association,american planning association,1--61190,2015,2015,1.0
392,1,american planning association planners press,american planning association planners press,1--351;1--61190,2015,2015,4.0
393,1,american press,american press,0--89641,2015,2015,1.0
394,1,american psychiatric association publishing,american psychiatric association publishing,1--61537,2015,2015,1.0
395,1,american psychiatric publ,american psychiatric publ,1--58562,2015,2015,6.0
396,1,american psychiatric publishing,american psychiatric publishing,1--58562;1--61537,2015,2015,26.0
397,1,american psychiatric publishing inc,american psychiatric publishing inc,1--58562,2015,2015,1.0
398,1,american psychological association,american psychological association,1--4338,2015,2015,40.0
399,1,american public health association,american public health association,0--87553,2015,2015,3.0
