cluster_id,isbn,record,type
590,1--84593,1,1
591,0--85199,1,1
592,1--936646,1,1
593,1--879394,1,1
594,0--903319,1,1
595,0--9788703,1,1
596,0--934971,1,1
597,1--5275,4,1
597,1--4438,5,1
598,1--108,79,1
598,1--107,147,1
598,1--139,32,1
598,0--521,204,1
598,1--316,58,1
598,0--511,18,1
599,1--57113,1,1
600,1--60381,1,1
601,3--593,3,1
602,3--593,2,1
603,1--4965,1,1
603,0--7636,24,1
603,0--329,1,1
603,1--56402,2,1
603,1--5362,1,1
603,1--4131,1,1
604,0--9932755,1,1
605,0--85786,3,1
605,1--78689,1,1
606,1--892306,1,1
607,0--9913340,1,1
608,0--9974446,1,1
609,0--399,2,1
610,1--4342,1,1
610,0--85708,1,1
611,1--4966,1,1
612,1--4329,1,1
613,1--62065,1,1
613,0--7368,1,1
613,1--4765,1,1
614,0--9971625,1,1
615,1--942367,1,1
616,1--58042,1,1
617,0--911744,1,1
618,1--63265,1,1
619,0--665,1,1
620,1--78011,1,1
621,1--85868,1,1
621,1--84732,1,1
622,1--878379,1,1
623,0--87003,1,1
624,1--63282,1,1
625,0--8225,1,1
625,1--57505,1,1
625,0--87614,1,1
626,1--5124,1,1
627,0--7867,3,1
627,0--88184,4,1
628,0--88184,1,1
629,0--7867,1,1
630,0--88184,1,1
631,1--5117,1,1
632,1--4838,3,1
633,0--665,1,1
634,1--61325,1,1
635,0--545,3,1
635,1--338,1,1
636,0--545,1,1
637,1--78874,1,1
638,0--89827,1,1
639,1--62564,2,1
639,1--4982,4,1
639,1--5326,2,1
639,1--62032,1,1
640,1--61200,7,1
641,1--61200,1,1
642,1--61200,3,1
643,0--304,1,1
643,0--665,2,1
643,0--02,1,1
643,0--00,1,1
644,0--665,1,1
645,0--7858,1,1
646,1--84879,1,1
647,0--9893576,1,1
648,1--78469,1,1
649,0--8132,4,1
650,1--5238,1,1
651,1--5193,1,1
652,1--874241,1,1
653,1--62713,1,1
653,1--5026,3,1
654,1--5026,1,1
655,1--60047,1,1
656,1--4812,1,1
657,1--118,1,1
658,1--934309,1,1
659,1--4621,4,1
660,1--337,4,1
661,1--4737,2,1
661,1--285,5,1
661,1--337,3,1
661,1--305,11,1
661,1--4619,1,1
662,1--285,1,1
662,1--305,1,1
663,1--60285,1,1
664,0--9819005,1,1
665,1--4773,1,1
666,1--4422,1,1
667,1--4422,4,1
668,1--60285,3,1
669,1--68324,7,1
669,1--58547,1,1
669,1--61173,5,1
669,1--64358,1,1
669,1--62899,7,1
670,1--61173,2,1
670,1--58547,2,1
670,1--60285,1,1
671,1--5460,1,1
672,963--386,1,1
672,615--5225,1,1
673,1--58664,1,1
674,0--335,1,1
675,1--910627,1,1
676,1--84605,1,1
676,0--09,1,1
677,0--939784,1,1
678,1--4621,2,1
678,1--55517,1,1
679,0--9647194,1,1
680,1--4736,1,1
681,0--245,1,1
682,1--85152,1,1
683,1--68350,1,1
684,0--08,1,1
685,1--84541,1,1
686,0--412,8,1
686,94--009,1,1
687,0--412,1,1
688,1--9998593,1,1
689,1--5496,1,1
690,0--398,1,1
691,0--8048,1,1
692,1--58450,1,1
693,0--306,1,1
694,1--60734,1,1
694,1--58089,1,1
695,1--4448,2,1
695,1--84395,1,1
695,0--7089,6,1
696,0--441,2,1
697,0--7858,4,1
697,0--89009,1,1
698,0--7858,2,1
699,1--78413,1,1
700,0--517,1,1
701,0--7011,4,1
701,0--330,1,1
702,0--9965712,1,1
703,0--8160,1,1
704,1--55546,2,1
704,1--4381,1,1
704,0--7910,1,1
705,1--55546,1,1
706,1--931167,1,1
707,1--5341,1,1
707,1--63472,1,1
708,1--56850,1,1
709,1--61373,1,1
710,1--61159,1,1
711,1--935096,1,1
712,0--85953,1,1
712,1--904550,1,1
713,1--84643,1,1
714,0--913778,1,1
714,1--5038,5,1
715,0--89239,1,1
716,0--06,1,1
717,1--5490,1,1
717,0--531,2,1
717,0--516,2,1
718,0--516,1,1
719,1--62323,2,1
719,1--223,1,1
720,0--692,1,1
721,1--84464,1,1
722,0--7451,21,1
723,0--7451,1,1
723,0--7089,1,1
724,1--55504,6,1
724,0--89340,2,1
724,0--7927,1,1
724,0--312,1,1
724,0--85119,3,1
724,0--7540,5,1
724,0--86220,1,1
724,0--7838,1,1
724,0--7451,18,1
725,0--9664536,1,1
726,0--87061,1,1
727,0--915684,1,1
728,0--87508,2,1
729,0--87952,1,1
730,0--9889290,1,1
731,1--5272,1,1
732,1--4081,1,1
733,1--4521,1,1
734,0--87148,1,1
735,0--443,2,1
736,0--9910420,1,1
737,1--78249,1,1
738,1--63202,1,1
739,0--9839837,1,1
740,0--13,2,1
740,1--58720,1,1
740,1--58705,2,1
740,1--58714,1,1
741,0--8065,1,1
742,0--87286,1,1
743,1--63240,1,1
744,0--19,27,1
745,0--19,26,1
746,0--544,4,1
747,0--544,3,1
747,1--328,1,1
748,0--517,1,1
749,1--9848,1,1
750,1--909828,1,1
751,1--85959,1,1
752,0--9765196,1,1
753,1--60537,1,1
754,0--8063,2,1
755,0--8063,1,1
756,1--62778,2,1
757,1--942954,1,1
758,1--57860,1,1
759,0--300,1,1
760,0--8220,1,1
761,0--8220,1,1
762,1--85089,1,1
763,0--89287,1,1
764,1--62774,1,1
765,1--63487,1,1
766,0--89145,4,1
767,1--84890,1,1
768,0--684,1,1
768,0--02,2,1
769,0--600,1,1
770,0--88214,1,1
770,0--06,66,1
770,0--914629,1,1
770,0--00,30,1
771,0--00,1,1
772,0--00,1,1
773,0--529,1,1
774,1--890730,1,1
775,0--86283,1,1
776,1--85833,1,1
777,0--9746539,1,1
778,0--9623556,1,1
779,0--231,18,1
780,0--231,17,1
780,0--19,1,1
781,0--620,1,1
782,1--62276,1,1
783,1--58899,1,1
784,92--825,2,1
785,0--9856480,1,1
786,1--881479,1,1
787,1--56751,1,1
788,1--61229,1,1
789,1--84859,4,1
789,0--85092,4,1
790,0--8038,1,1
791,1--78099,2,1
791,1--78279,1,1
792,1--4747,1,1
792,0--7565,1,1
793,1--86340,1,1
794,1--5236,1,1
795,94--011,1,1
796,1--880229,1,1
797,0--7586,2,1
798,0--8237,1,1
799,1--908428,1,1
800,1--906364,1,1
801,1--57625,1,1
802,1--84232,1,1
803,0--9890608,1,1
804,0--306,1,1
805,0--07,1,1
805,0--8092,1,1
806,1--4288,1,1
807,0--8044,1,1
807,0--8264,6,1
807,1--4411,4,1
808,958--9351,1,1
809,1--105,1,1
810,0--89191,1,1
811,1--62125,1,1
812,1--85833,1,1
813,0--606,1,1
813,0--7613,1,1
814,1--55659,1,1
815,0--9896512,1,1
816,1--68078,2,1
816,1--5321,1,1
816,1--62969,1,1
816,1--68077,1,1
817,0--552,7,1
818,0--552,5,1
818,0--440,1,1
819,0--8014,4,1
820,0--8014,3,1
820,1--5017,3,1
821,0--87291,1,1
822,0--9943034,1,1
823,1--4721,1,1
824,1--78239,2,1
824,1--84887,1,1
825,1--5063,1,1
825,1--4522,1,1
826,1--4833,1,1
827,0--7619,1,1
827,1--4833,1,1
828,1--56518,1,1
829,0--87609,1,1
830,1--61902,1,1
830,1--58243,1,1
830,1--64009,2,1
831,0--600,1,1
832,0--915608,1,1
833,1--62108,1,1
834,0--698,1,1
835,1--5063,1,1
835,1--4833,3,1
836,0--86505,1,1
836,0--7787,13,1
837,1--4271,1,1
837,0--7787,6,1
838,0--904508,1,1
839,0--9544613,1,1
840,1--351,11,1
840,1--138,6,1
840,1--4665,7,1
840,1--4987,15,1
840,1--4200,2,1
840,0--429,4,1
840,0--203,1,1
840,0--8493,2,1
840,1--315,4,1
840,1--4398,6,1
840,1--4822,14,1
840,1--4441,1,1
841,1--138,1,1
841,1--4665,3,1
841,1--4987,4,1
841,0--429,1,1
841,1--315,1,1
841,1--4398,2,1
841,1--4822,4,1
842,0--9547634,1,1
842,1--78029,1,1
843,1--4802,1,1
843,1--5306,1,1
843,1--5441,1,1
843,1--9869,1,1
843,1--5175,1,1
843,1--7174,1,1
843,1--7220,1,1
843,1--5002,1,1
843,1--4699,1,1
843,1--4954,1,1
843,1--4959,1,1
843,1--5089,1,1
843,1--4937,1,1
843,1--9811,1,1
843,1--5057,1,1
843,1--5446,1,1
843,1--4929,1,1
843,1--5394,1,1
843,1--9841,1,1
843,1--5442,1,1
843,1--5025,1,1
843,0--9980828,1,1
843,1--5114,1,1
843,1--5398,1,1
843,1--5374,1,1
843,1--5470,1,1
843,1--9832,1,1
843,1--4910,1,1
843,1--4935,1,1
843,1--5447,1,1
843,1--5307,1,1
843,1--4810,1,1
843,1--4960,1,1
844,0--312,1,1
845,1--4700,1,1
845,1--4752,1,1
845,1--5009,1,1
845,1--4995,1,1
845,1--4895,1,1
845,1--4929,2,1
845,1--4775,1,1
845,1--4782,1,1
845,0--9930940,1,1
845,1--4827,1,1
845,1--4781,1,1
845,1--4849,1,1
845,1--5307,2,1
845,1--4495,1,1
845,1--4997,1,1
845,1--4663,1,1
845,1--4922,1,1
845,1--9805,1,1
846,1--5058,1,1
846,1--4975,1,1
847,1--5055,1,1
848,1--880675,1,1
849,0--88488,1,1
850,0--517,1,1
851,0--7858,3,1
852,0--8126,1,1
853,0--451,1,1
853,1--57912,1,1
853,0--00,1,1
854,1--5072,1,1
854,1--4405,1,1
855,1--56052,1,1
856,1--55547,1,1
857,1--68331,1,1
858,1--4627,1,1
859,0--8245,2,1
