cluster_id,isbn,record,type
574,0--916626,1,1
575,0--8016,1,1
576,0--85435,1,1
577,1--78064,1,1
578,1--84593,1,1
578,0--85199,2,1
578,1--78064,5,1
578,1--78639,3,1
579,0--85199,1,1
580,1--936646,1,1
581,1--879394,1,1
582,0--903319,1,1
583,0--9788703,1,1
584,0--934971,1,1
585,1--4438,5,1
585,1--5275,4,1
586,1--108,1,1
586,0--521,1,1
587,0--521,102,1
588,1--108,39,1
588,1--107,73,1
588,0--511,9,1
588,1--139,16,1
588,1--316,29,1
588,0--521,101,1
589,1--107,1,1
590,1--57113,1,1
591,1--60381,1,1
592,3--593,3,1
593,3--593,2,1
594,0--329,1,1
594,0--7636,23,1
594,1--56402,2,1
594,1--4131,1,1
594,1--5362,1,1
595,0--9932755,1,1
596,0--85786,3,1
596,1--78689,1,1
597,1--892306,1,1
598,0--9913340,1,1
599,0--9974446,1,1
600,0--399,2,1
601,0--85708,1,1
601,1--4342,1,1
602,1--4966,1,1
603,1--4329,1,1
604,1--4765,1,1
604,1--62065,1,1
604,0--7368,1,1
605,0--9971625,1,1
606,1--58042,1,1
607,0--911744,1,1
608,1--63265,1,1
609,0--665,1,1
610,1--78011,1,1
611,1--84732,1,1
611,1--85868,1,1
612,1--878379,1,1
613,0--87003,1,1
614,1--63282,1,1
615,1--57505,1,1
615,0--8225,1,1
615,0--87614,1,1
616,1--5124,1,1
617,0--7867,3,1
617,0--88184,4,1
618,0--88184,1,1
619,0--7867,1,1
620,0--88184,1,1
621,1--5117,1,1
622,1--4838,1,1
623,0--665,1,1
624,1--61325,1,1
625,0--545,2,1
626,0--545,1,1
627,1--78874,1,1
628,0--89827,1,1
629,1--62032,1,1
629,1--4982,4,1
629,1--5326,2,1
629,1--62564,2,1
630,1--61200,7,1
631,1--61200,1,1
632,1--61200,3,1
633,0--665,2,1
633,0--02,1,1
633,0--304,1,1
633,0--00,1,1
634,0--665,1,1
635,0--7858,1,1
636,1--84879,1,1
637,0--9893576,1,1
638,1--78469,1,1
639,0--8132,4,1
640,1--5238,1,1
641,1--5193,1,1
642,1--874241,1,1
643,1--62713,1,1
643,1--5026,3,1
644,1--5026,1,1
645,1--60047,1,1
646,1--4812,1,1
647,1--118,1,1
648,1--934309,1,1
649,1--337,4,1
650,1--305,11,1
650,1--285,5,1
650,1--337,3,1
650,1--4737,2,1
650,1--4619,1,1
651,1--305,1,1
651,1--285,1,1
652,1--60285,1,1
653,0--9819005,1,1
654,1--4773,1,1
655,1--4422,1,1
656,1--4422,4,1
657,1--60285,3,1
658,1--58547,1,1
658,1--62899,7,1
658,1--68324,7,1
658,1--64358,1,1
658,1--61173,5,1
659,1--60285,1,1
659,1--58547,2,1
660,1--61173,1,1
661,1--5460,1,1
662,615--5225,1,1
663,963--386,1,1
664,1--58664,1,1
665,0--335,1,1
666,1--910627,1,1
667,1--84605,1,1
667,0--09,1,1
668,0--939784,1,1
669,1--55517,1,1
670,0--9647194,1,1
671,1--4736,1,1
672,0--245,1,1
673,1--85152,1,1
674,1--68350,1,1
675,1--84541,1,1
676,0--412,8,1
676,94--009,1,1
677,0--412,1,1
678,1--9998593,1,1
679,1--5496,1,1
680,0--398,1,1
681,0--8048,1,1
682,1--58450,1,1
683,0--306,1,1
684,1--60734,1,1
684,1--58089,1,1
685,1--84395,1,1
685,0--7089,6,1
685,1--4448,2,1
686,0--441,2,1
687,0--89009,1,1
687,0--7858,4,1
688,0--7858,2,1
689,1--78413,1,1
690,0--517,1,1
691,0--7011,4,1
691,0--330,1,1
692,0--9965712,1,1
693,0--8160,1,1
694,0--7910,1,1
694,1--55546,2,1
695,1--55546,1,1
696,1--931167,1,1
697,1--5341,1,1
697,1--63472,1,1
698,1--56850,1,1
699,1--61373,1,1
700,1--61159,1,1
701,1--935096,1,1
702,1--904550,1,1
702,0--85953,1,1
703,1--84643,1,1
704,1--5038,5,1
704,0--913778,1,1
705,0--89239,1,1
706,0--06,1,1
707,0--516,2,1
708,0--516,1,1
709,1--223,1,1
709,1--62323,2,1
710,0--692,1,1
711,1--84464,1,1
712,0--7451,21,1
713,0--7451,1,1
713,0--7089,1,1
714,0--7451,18,1
714,0--85119,3,1
714,0--7838,1,1
714,0--86220,1,1
714,1--55504,6,1
714,0--89340,2,1
714,0--312,1,1
714,0--7540,5,1
