F001_a,leader_18,isbn_tag,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,F26x_b_cleaned_pro
49627138,a,0--8050,2002,0,1,0,h. holt,h holt
1014476675,i,1--77188 ;; 1--315,2017,1,0,1,apple academic press,apple academic press
39856757,a,0--567,1997,0,1,0,t and t clark,t and t clark
1091992401,i,1--350,2019,0,0,1,"bloomsbury academic, bloomsbury publishing plc",bloomsbury academic bloomsbury publishing plc
317594766,i,1--139,2006,1,0,1,cambridge university press,cambridge university press
1037101071,i,1--84821,2018,1,0,1,iste ltd,iste ltd
690498866,i,0--494,2007,0,1,0,library and archives canada = bibliothèque et archives canada,library and archives canada bibliothe que et archives canada
229895100,i,0--613 ;; 0--06 ;; 0--605,2008,1,0,1,harperteen/amistad,harperteen amistad
1097826902, ,0--590,1994,0,1,0,scholastic,scholastic
1082578539,a,0--665,1984,0,1,0,h. colburn and r. bentley,h colburn and r bentley
776501633,i,1--891743,2012,1,0,1,oak hill pub,oak hill pub
317458342,a,0--333,1970,0,0,1,macmillan,macmillan
49119905,a,0--7660,2001,0,1,0,enslow publishers,enslow publishers
26703772,i,1--55817,1992,1,0,1,windsor publishing corp.,windsor publishing corp
632321508,a,1--61738,2010,0,1,0,american society for engineering management,american society for engineering management
930394278,i,0--545,2015,0,0,1,scholastic inc,scholastic inc
1014125827,i,1--78570,2017,0,0,1,oxbow books,oxbow books
896845982,i,1--4832,1992,1,0,1,jai press inc,jai press inc
1082827113,i,0--7391,2002,1,0,1,lexington books,lexington books
910304112,i,3--11,2014,1,0,1,de gruyter,de gruyter
912234930,i,1--4814,2015,1,0,1,simon pulse,simon pulse
1058459387,i,1--283 ;; 1--4639,2011,1,0,1,international monetary fund,international monetary fund
1076452329,i,1--63388,2018,1,0,1,prometheus books,prometheus books
944745859,i,0--00,2014,1,0,1,harperimpulse,harperimpulse
1058959843,i,1--119,2017,1,0,1,wiley-blackwell,wiley blackwell
882250067,i,1--60198,2010,1,0,1,now publishers,now publishers
827262819,i,0--7944,2013,1,0,1,reader's digest children's books,reader's digest children's books
958388931,i,1--78588,2016,0,1,0,packt publishing,packt publishing
1035037228,a,0--7818,1997,0,1,0,hippocrene books,hippocrene books
12995153,a,0--14,1968,0,1,0,penguin books,penguin books
71354299,a,0--521,2006,0,1,0,cambridge university press,cambridge university press
1087486593, ,1--4742,2019,1,0,1,bloomsbury visual arts,bloomsbury visual arts
817508192,a,0--13,1988,0,1,0,prentice hall,prentice hall
1033128684,a,0--665,1982,0,1,0,blackie,blackie
646637810,a,0--674,1995,0,1,0,harvard university press,harvard university press
46508464,a,0--7089,1989,0,1,0,f.a. thorpe (pub.),f a thorpe pub
826853613,a,0--8133,2013,0,0,1,"westview press, a member of the perseus books group",westview press a member of the perseus books group
48150417,a,0--15,1999,0,1,0,harcourt,harcourt
839543896,a,0--00,1995,0,1,0,collins,collins
1014213117,i,1--138 ;; 1--315 ;; 1--317,2015,1,0,1,routledge,routledge
959268757,i,1--250 ;; 1--4844 ;; 0--605,2016,1,0,1,square fish/roaring brook press,square fish roaring brook press
1083203328,i,1--138,2018,0,1,0,routledge,routledge
56105589,a,1--56792,2001,0,1,0,david r. godine,david r godine
797326555,a,0--553,1987,0,1,0,bantam books,bantam books
896858484,i,1--4649,2012,1,0,1,scholarly media,scholarly media
2588948,i,0--19,1972,0,1,0,oxford university press,oxford university press
890310046,i,0--8253,2015,1,0,1,beaufort books,beaufort books
135078, ,0--87140,1971,0,1,0,liveright,liveright
794240145,i,958--8461,2012,1,0,1,icono,icono
1054661368,i,1--5039,2018,1,0,1,amazoncrossing,amazoncrossing
28524361,a,1--85752 ;; 1--873644,1993,0,1,0,mercat press,mercat press
209740760,i,0--314,2008,1,0,1,thomson/west,thomson west
17300086,a,0--408,1988,0,1,0,butterworths,butterworths
5506768,i,0--85119,1979,0,1,0,firecrest,firecrest
145161243,a,0--9670843,2001,0,1,0,devotional life press,devotional life press
1048756961,i,1--5398,2016,1,0,1,createspace independent publishing platform,createspace independent publishing platform
961900877,a,0--329 ;; 0--15,2006,0,1,0,voyager books/harcourt,voyager books harcourt
874935440,i,1--124,2011,1,0,1,proquest,proquest
49054175,i,0--8103,1991,0,0,1,gale research inc,gale research inc
935983493,i,0--7636,2016,1,0,1,candlewick press,candlewick press
1374626, ,1--4022,1967,0,1,0,dutton,dutton
921912974,i,0--8028,2015,1,0,1,william b. eerdmans publishing company,william b eerdmans publishing company
1085218991,a,0--324,2009,0,0,1,south-western,south western
878138887,i,1--315,2000,1,0,1,routledge,routledge
964456744,i,1--118,2017,1,0,1,wiley blackwell,wiley blackwell
1097102156,i,1--351,2017,1,0,1,"routledge, taylor and francis group",routledge taylor and francis group
1097142234,i,1--4832,1967,1,0,1,academic press,academic press
492755264,i,0--02,1989,0,1,0,macmillan publishing company,macmillan publishing company
946073953,i,1--137,2016,0,1,0,palgrave macmillan,palgrave macmillan
833117707,a,0--385,1999,0,1,0,anchor books,anchor books
875900641,i,0--415,2013,0,1,0,routledge,routledge
879582586,i,0--7653 ;; 1--4844,2015,1,0,1,"tor teen, a tom doherty associates book",tor teen a tom doherty associates book
439448521,i,0--00,2005,0,1,0,harper perennial,harper perennial
1058956795,i,3--11,2017,1,0,1,de gruyter mouton,de gruyter mouton
956786547,i,0--692,2015,1,0,1,page branch pub,page branch pub
927296503,i,0--691,2015,0,1,0,princeton university press,princeton university press
1091896648,i,1--78262,2014,1,0,1,royal society of chemistry,royal society of chemistry
779392592,i,0--449,1992,0,1,0,fawcett columbine,fawcett columbine
11517153,a,0--583,1980,0,1,0,granada,granada
233592164,i,1--932364,2008,1,0,1,american planning association,american planning association
1066747006,i,1--68095,2017,1,0,1,3g e-learning,3g e learning
3156322,i,0--452,1973,0,1,0,new american library,new american library
1041233548,i,1--138,2019,1,0,1,routledge,routledge
1035317109,i,0--7166,2018,1,0,1,world book,world book
951671215,i,0--85719,2011,1,0,1,harriman house,harriman house
915041821,a,1--118,2014,0,1,0,iste,iste
870847363,i,0--8179,2014,1,0,1,"education next books, hoover institution press, stanford university",education next books hoover institution press stanford university
935784466,i,1--4824,2017,1,0,1,gareth stevens publishing,gareth stevens publishing
1054787168,i,1--9848,2017,1,0,1,alfred a. knopf,alfred a knopf
10824197,a,0--89193,1983,0,1,0,sirs,sirs
904979219,i,1--336 ;; 0--262,2015,1,0,1,mit press,mit press
256755732,a,1--4054,2006,0,1,0,parragon,parragon
506838179,a,0--452,1983,0,1,0,new american library,new american library
12582709,a,0--03,1986,0,1,0,"holt, rinehart, and winston",holt rinehart and winston
929953576,i,0--578,2015,1,0,1,b.e.a.n. enterprises llc,b e a n enterprises llc
967512649,i,0--300,2016,0,1,0,yale university press,yale university press
962455164,i,0--309,2016,1,0,1,transportation research board,transportation research board
8835109,a,0--448,1982,0,1,0,grosset and dunlap,grosset and dunlap
12441807,a,0--7089,1985,0,1,0,thorpe,thorpe
957512966,i,1--4063,2016,1,0,1,walker books,walker books
877607950,a,1--84887,2013,0,1,0,corvus,corvus
1022938847,i,1--338,2017,1,0,1,scholastic inc,scholastic inc
466347871,c,0--8160,2008,1,0,1,checkmark books,checkmark books
941711268,i,0--13,1977,0,0,1,prentice-hall,prentice hall
878145546,i,1--61277,2009,1,0,1,kent state university press,kent state university press
14020872, ,0--8112,1961,0,1,0,new directions publ. corp,new directions publ corp
1037743376,i,0--8047,2015,1,0,1,stanford university press,stanford university press
1004972489,i,1--84975,2014,1,0,1,ryland peters and small,ryland peters and small
862735995,i,0--415,2006,0,1,0,taylor and francis,taylor and francis
891838221,a,1--4623 ;; 1--4527 ;; 1--283 ;; 1--4518,1998,0,0,1,"international monetary fund, asia and pacific department",international monetary fund asia and pacific department
913901603,i,1--62899,2015,1,0,1,center point large print,center point large print
891396803,i,1--84821 ;; 1--119,2014,1,0,1,iste,iste
830816908,a,0--334,2012,0,1,0,scm press,scm press
864820504,i,1--4664,2010,0,1,0,readaclassic.com,readaclassic com
22186768,a,0--472,1990,0,1,0,university of michigan press,university of michigan press
