id,length,text,publisher_pro,isbn_new,year_min,year_max,record
345,1,bantam doubleday dell books for young readers,bantam doubleday dell books for young readers,0--440,1987,1999,2.0
346,1,bantam doubleday dell pub group,bantam doubleday dell pub group,0--385,1989,1989,1.0
347,1,bantam skylark book,bantam skylark book,0--7807,1992,1992,1.0
348,1,bar publishing,bar publishing,1--4073,2016,2018,2.0
349,1,barbara gaskell denvil,barbara gaskell denvil,1--5328,2016,2016,1.0
350,1,barbara karnes books,barbara karnes books,0--9621603,2009,2009,1.0
351,1,barbour,barbour,1--61626,2010,2010,1.0
352,1,barbour books,barbour books,1--68322,2018,2018,1.0
353,1,barbour publishing inc,barbour publishing inc,1--62836,2014,2014,1.0
354,1,barcharts inc,barcharts inc,1--4232;1--57222,2003,2004,2.0
355,1,bard,bard,0--380,1999,1999,1.0
356,1,barefoot,barefoot,1--84686,2015,2015,1.0
357,1,barefoot books,barefoot books,1--84686;1--84148;1--78285,2004,2013,5.0
358,1,barksdale foundation for furtherance of human understanding,barksdale foundation for furtherance of human understanding,0--918588,1980,1980,1.0
359,1,barncott press,barncott press,1--4954,2014,2014,1.0
360,1,barnes and noble,barnes and noble,0--7607;1--4351;0--06;0--88029;1--56619,1972,2012,8.0
361,1,barnes and noble books,barnes and noble books,0--88029;0--7607;0--06;1--56619,1983,2005,8.0
362,1,barnes and nobles,barnes and nobles,1--56619,2000,2000,1.0
363,1,barrie and jenkins,barrie and jenkins,0--257,1970,1970,1.0
364,1,barrington stoke,barrington stoke,1--78112,2015,2018,2.0
365,1,barrington stoke ltd,barrington stoke ltd,1--78112,2017,2017,1.0
366,1,barron's,barron's,0--8120,1988,1988,1.0
367,1,barrons educational series,barrons educational series,1--78402,2010,2010,1.0
368,1,barry mccall,barry mccall,1--905989,2010,2010,1.0
369,1,basic books,basic books,0--465;1--5416,1975,2018,7.0
370,1,basic books a member of the perseus books group,basic books a member of the perseus books group,0--7867,1994,1994,1.0
371,1,batsford,batsford,0--7134,1978,1978,1.0
372,1,bb bookstore,bb bookstore,1--58026,1981,1981,1.0
373,1,bbc audiobooks,bbc audiobooks,1--4084;1--59722;1--4056;0--7862,2005,2010,13.0
374,1,bbc books,bbc books,1--78594;1--84990,2013,2015,3.0
375,1,bcs learning and development limited,bcs learning and development limited,1--78017,2015,2015,1.0
376,1,beacon hill press of kansas city,beacon hill press of kansas city,0--8341,2012,2014,2.0
377,1,beacon press,beacon press,0--8070,1967,2014,8.0
378,1,bearport publishing,bearport publishing,1--64280;1--68402,2018,2019,2.0
379,1,beau coup publishing,beau coup publishing,1--5004,2014,2014,1.0
380,1,beaufort books,beaufort books,0--8253,2015,2015,1.0
381,1,bedford st martin's,bedford st martin's,1--319;1--4576,2012,2016,3.0
382,1,beeler large print,beeler large print,1--57490,1999,1999,1.0
383,1,beginner books,beginner books,0--394,2002,2003,2.0
384,1,belknap press of harvard university press,belknap press of harvard university press,0--674,1999,2019,7.0
385,1,belle applications,belle applications,1--9761,2018,2018,1.0
386,1,bellwether media,bellwether media,1--62617;0--531,2016,2019,6.0
387,1,belt publishing,belt publishing,1--948742,2019,2019,1.0
388,1,benchmark education company,benchmark education company,1--4108;1--60437;1--61672;1--4509,2007,2013,4.0
389,1,bent pine publishing,bent pine publishing,0--9960803,2015,2015,1.0
390,1,beowulf,beowulf,0--9658028,1999,1999,1.0
391,1,berg,berg,0--907582;1--84520;1--85973,1993,2007,3.0
392,1,berg publishers,berg publishers,1--84788,2010,2010,1.0
393,1,berghahn,berghahn,1--78238,2016,2016,1.0
394,1,berghahn books,berghahn books,0--85745;1--84545;1--306;1--78533,2008,2018,5.0
395,1,berkely,berkely,0--515,1985,1985,1.0
396,1,berkley,berkley,0--441;0--425,1972,1990,5.0
397,1,berkley books,berkley books,0--698;0--515;0--425,1983,2014,15.0
398,1,berkley caliber,berkley caliber,1--78239,2016,2016,1.0
