F001_a,leader_18,isbn_tag,isbn_tag1,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,source
228770713,i,,,1965,0,1,0,macmillan,1
77625700,i,,,1979,0,1,0,university microfilms international,1
60841858,a,,,1989,0,1,0,harpercollins,1
957773033,i,1--4773,1--4773,2016,1,0,1,center for middle eastern studies at the university of texas at austin,1
62305333,a,0--7607,0--7607,2005,0,1,0,barnes and noble books,1
1097098006,i,1--4987,1--4987,2016,1,0,1,crc press,1
491098641,i,,,1965,0,1,0,f.a. praeger,1
1057060011,a,0--449,0--449,1969,0,1,0,fawcett crest books,1
13286190,a,,,1983,0,0,1,ogre fate press,1
216650383,a,0--689,0--689,1981,0,1,0,atheneum,1
922952486,i,1--78528,1--78528,2015,0,1,0,packt publishing,1
1061837588,a,0--521,0--521,2002,0,1,0,cambridge university press,1
702219394,i,,,1970,0,1,0,washington square press,1
914170348,i,0--19,0--19,2015,1,0,1,oxford university press,1
1023524758,i,1--108,1--108,2018,1,0,1,cambridge university press,1
24020321,a,0--521,0--521,1989,0,1,0,cambridge university press,1
495944944,i,0--8132,0--8132,1993,0,1,0,catholic university of america press,1
904585250,a,1--305,1--305,2015,0,1,0,cengage learning ptr,1
30962725,a,,,1992,0,1,0,warner books,1
1097090391,i,3--319,3--319,2014,1,0,1,springer,1
950450334,i,1--78548,1--78548,2016,1,0,1,iste press ltd,1
41594758,a,0--440,0--440,1999,0,1,0,bantam doubleday dell books for young readers,1
85788070,a,,,1966,0,1,0,w. morrow,1
1032287671,i,0--241,0--241,2018,1,0,1,puffin books,1
865641956,i,1--4511,1--4511,2014,1,0,1,wolters kluwer health,1
881728604,i,,,2005,1,0,1,orange county's pacific symphony,1
922086744,i,,,1960,0,1,0,princeton university press,1
1293358,i,,,1974,1,0,1,countryman press,1
495303949,i,,,1984,0,1,0,grove press,1
5942216,i,0--8161,0--8161,1980,0,1,0,g.k. hall,1
206762, ,0--8371,0--8371,1971,0,1,0,greenwood press,1
233986512,a,0--89906,0--89906,1994,0,1,0,mesorah publications,1
65706791,i,,,1961,0,1,0,macmillan,1
808425146,i,1--61232,1--61232,2011,1,0,1,speaking volumes llc,1
1003855108,i,1--68137,1--68137,2017,1,0,1,new york review books,1
871365808,a,1--4424 ;; 1--4169,1--4169,2010,0,1,0,simon pulse,1
863382479,i,0--07 ;; 1--259,0--07,2015,1,0,1,mcgraw-hill education,1
2013592,i,,,1974,0,1,0,warner,1
967831229,i,0--12,0--12,2016,1,0,1,academic press,1
1020526632,i,0--9648534,0--9648534,1995,0,0,1,old world christmas,1
18937832,a,,,1962,0,1,0,cassell,1
8312812,i,,,1964,0,1,0,e.p. ellsberry,1
263468942,a,0--7221,0--7221,1984,0,1,0,sphere,1
930335626,i,1--137,1--137,2014,0,1,0,palgrave,1
9638774,a,,,1968,0,1,0,grosset and dunlap,1
868358617,a,1--936010,1--936010,2000,0,1,0,forbes travel,1
865257220,a,1--4056,1--4056,2007,0,1,0,bbc audiobooks,1
891140815,a,0--7146 ;; 1--135,1--135,2011,0,1,0,routledge,1
1057795521,i,1--338,1--338,2018,1,0,1,scholastic press,1
